"","Column","Row","RefNumber","Name.Append","Name","ID","ControlType","TopHit","Correct.Accession.number","Accession","Probe","blast2go.Seq.Description","NCBI.Accession.name","Gene","Gene.Code","Probe.Group","Modified.Probe.Group","Function","FC","Species.Detail","Species.Group","X","X.1","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CUST_206_PI426264540",85,61,1938,"222802716_EZ031104.1","222802716_EZ031104.1_202-1450","CUST_206_PI426264540","FALSE","gi|222802716_EZ031104.1_202-1450","EZ031104.1","EZ031104.1","EZ031104","phosphatidylinositol- -trisphosphate 3-phosphatase and dual-specificity protein phosphatase pten","Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase PTEN (PTEN)","Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase PTEN (PTEN)","","lipid metabolism","suppresses cell proliferation & migration","immune response","MF","Acropora millepora","coral",NA,NA,-0.0414273246196314,0.436099499892203,-0.100880469652611,0.922228725475788,1,-5.64011782961347
"CUST_210_PI426232940",80,144,2635,"288950279_GQ501350.1","288950279_GQ501350.1_22-495","CUST_210_PI426232940","FALSE","gi|288950279_GQ501350.1_22-495","GQ501350.1","GQ501350.1","GQ501350","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (MT-CO1)","","ETC","respiration","cellular respiration","NCF","Symbiodinium sp.","zooxanthellae",NA,NA,-0.0201220232995691,6.97101152258304,-0.100759458858486,0.922321659522314,1,-5.64012991198657
"CUST_245_PI426266615",52,122,7238,"Hg_125_159","Hg_125_159","CUST_245_PI426266615","FALSE","","Hg","BI534459","Hg","","unknown stress response","unknown stress response","","unknown EST","(revisit)","EST from coral","UNK","Acropora cervicornis","coral",NA,NA,0.0340638885865893,0.243373760822606,0.10038478668027,0.922609408913037,1,-5.64016722959613
"CUST_46_PI426264530",88,160,1315,"222549384_EZ005297.1","222549384_EZ005297.1_25-239","CUST_46_PI426264530","FALSE","gi|222549384_EZ005297.1_25-239","EZ005297.1","EZ005297.1","EZ005297","voltage-dependent p q type calcium channel","Voltage-dependent P/Q-type calcium channel subunit alpha-1A (CACNA1A)","Voltage-dependent P/Q-type calcium channel subunit alpha-1A (CACNA1A)","","ion channel_transport","ion transport","ion binding","MF","Acropora millepora","coral",NA,NA,-0.0363477118213185,0.308369801407321,-0.100363409447498,0.922625827062672,1,-5.64016935460341
"CUST_54_PI426232940",61,156,5745,"31505734_AY289703.1","31505734_AY289703.1_724-909","CUST_54_PI426232940","FALSE","gi|31505734_AY289703.1_724-909","AY289703.1","AY289703.1","AY289703","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (MT-CO1)","","ETC","respiration","cellular respiration","NCF","Symbiodinium sp.","zooxanthellae",NA,NA,-0.0196139217850932,6.43158323911995,-0.100100206402908,0.922827975610901,1,-5.64019548136366
"CUST_152_PI426266615",96,64,51,"AY500892_1204_1238","AY500892_1204_1238","CUST_152_PI426266615","FALSE","","AY500892","AY500892.1","AY500892","","mitochondrial 60 kDa heat shock protein mRNA","mitochondrial 60 kDa heat shock protein mRNA","","protein modification","(revisit)","molecular chaperone","SR","Anemonia viridis","anemone",NA,NA,0.0354895433923358,0.426668590847071,0.0995506934370365,0.923250038903668,1,-5.64024980808022
"CUST_8_PI426266278",86,3,1803,"222783434_EZ012097.1","222783434_EZ012097.1_112-1206","CUST_8_PI426266278","FALSE","gi|222783434_EZ012097.1_112-1206","EZ012097.1","EZ012097.1","EZ012097","peroxisome biogenesis factor 13","Peroxisomal membrane protein PEX13 (PEX13)","Peroxisomal membrane protein PEX13 (PEX13)","","peroxisomal","protein binding_peroxisome biogenesis","transport","MF","Acropora millepora","coral",NA,NA,0.0464493103020771,0.606638558203119,0.0989186693750801,0.923735508541005,1,-5.64031192340822
"CUST_203_PI426264540",55,36,6789,"222801966_EZ030354.1","222801966_EZ030354.1_34-644","CUST_203_PI426264540","FALSE","gi|222801966_EZ030354.1_34-644","EZ030354.1","EZ030354.1","EZ030354","3-hydroxy-3-methylglutaryl-coenzyme a synthase 2","Hydroxymethylglutaryl-CoA synthase","Hydroxymethylglutaryl-CoA synthase","","lipid metabolism","response to xenobiotic","metabolism","NCF","Acropora millepora","coral",NA,NA,0.0364646324144471,0.431763031524564,0.0988025131068823,0.923824734101047,1,-5.64032329633514
"CUST_48_PI426266271",92,108,685,"222781680_EZ010351.1","222781680_EZ010351.1_13-324","CUST_48_PI426266271","FALSE","gi|222781680_EZ010351.1_13-324","EZ010351.1","EZ010351.1","EZ010351","dead (asp-glu-ala-asp) box polypeptide 46","Probable ATP-dependent RNA helicase DDX46 (DDX46)","DEAD (Asp-Glu-Ala-Asp) box helicase","","nucleic acid binding","RNA binding_mRNA processing","transcription","NCF","Acropora millepora","coral",NA,NA,0.0382859682197748,0.497938200002738,0.0986724463444268,0.923924646393651,1,-5.64033601543286
"CUST_272_PI426232937",90,156,989,"FN646415.1","FN646415.1","CUST_272_PI426232937","FALSE","emb|FN646415.1|gi|306430544","FN646415.1","FN646415.1","FN646415","","light-harvesting protein","light-harvesting protein","","photosynthesis","response to light","photosynthesis","ZOOX - photosynthesis","Symbiodinium sp. clade C","zooxanthellae",NA,NA,-0.0550519181190323,0.815688758384724,-0.098642046140475,0.92394799887177,1,-5.64033898582938
"CUST_168_PI426227486",76,115,3387,"222782694_EZ011365.1","222782694_EZ011365.1_9-250","CUST_168_PI426227486","FALSE","gi|222782694_EZ011365.1_9-250","EZ011365.1","EZ011365.1","EZ011365","carboxypeptidase x (m14 family) member 2","Carboxypeptidase-like protein X2 (CPXM2)","Carboxypeptidase-like protein X2 (CPXM2)","","misc","(revisit)","misc (fix)","misc","Acropora millepora","coral",NA,NA,0.034586458273237,0.189833264986668,0.0985430652479655,0.92402403341994,1,-5.64034865090462
"CUST_219_PI426226825",90,93,1102,"222801086_EZ029474.1","222801086_EZ029474.1_140-1724","CUST_219_PI426226825","FALSE","gi|222801086_EZ029474.1_140-1724","EZ029474.1","EZ029474.1","EZ029474","palmitoyl-protein thioesterase 1","Palmitoyl-protein thioesterase 1 (PPT1)","Palmitoyl-protein thioesterase 1 (PPT1)","","hydrolase_protein modification","lysosomal","regulation of apoptosis","MF","Acropora millepora","coral",NA,NA,-0.034586458273237,0.189833264986668,-0.0985430652479654,0.92402403341994,1,-5.64034865090462
"CUST_89_PI426266274",77,150,3124,"222787197_EZ015669.1","222787197_EZ015669.1_141-494","CUST_89_PI426266274","FALSE","gi|222787197_EZ015669.1_141-494","EZ015669.1","EZ015669.1","EZ015669","glutathione s-transferase omega class","Glutathione S-transferase omega-1 (GSTO1)","Glutathione S-transferase omega-1 (GSTO1)","","reactive O2 species metabolism","metabolism of xenobiotics & drugs","response to xenobiotic","SR","Acropora millepora","coral",NA,NA,-0.0277740110947837,0.220184548442091,-0.0970519260089915,0.925169588643898,1,-5.64049308360962
"CUST_1437_PI426227498",68,124,4613,"222801892_EZ030280.1","222801892_EZ030280.1_1900-2052","CUST_1437_PI426227498","FALSE","gi|222801892_EZ030280.1_1900-2052","EZ030280.1","EZ030280.1","EZ030280","serine threonine-protein phosphatase 2a 65 kda regulatory subunit a alpha isoform","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PPP2R1A","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PPP2R1A","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,-0.0542126019444713,0.68224425419,-0.0964397448047846,0.925639946074403,1,-5.64055174399105
"CUST_433_PI426227498",94,124,349,"222781359_EZ010030.1","222781359_EZ010030.1_18-1577","CUST_433_PI426227498","FALSE","gi|222781359_EZ010030.1_18-1577","EZ010030.1","EZ010030.1","EZ010030","protein kinase n3","Serine/threonine-protein kinase N3","Serine/threonine-protein kinase N3","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,0.034586458273237,0.197049801799665,0.0957709095883309,0.926153868331482,1,-5.64061540991344
"CUST_3_PI426264527",87,75,1603,"193081165_EU717908.1","193081165_EU717908.1_232-588","CUST_3_PI426264527","FALSE","gi|193081165_EU717908.1_232-588","EU717908.1","EU717908.1","EU717908","mannose-binding lectin","mannose-binding lectin","mannose-binding lectin","","immune response","binds apoptotic-nectrotic cells","immune response","SR","Acropora millepora","coral",NA,NA,0.0297602299027551,0.182729617328316,0.0951923719618083,0.92659843735252,1,-5.64067012404393
"CUST_141_PI426266274",92,67,787,"222798865_EZ027253.1","222798865_EZ027253.1_34-177","CUST_141_PI426266274","FALSE","gi|222798865_EZ027253.1_34-177","EZ027253.1","EZ027253.1","EZ027253","lon peptidase mitochondrial","Lon protease homolog","Lon protease homolog","","reactive O2 species metabolism","(revisit)","oxidative stress","SR","Acropora millepora","coral",NA,NA,-0.0379098304617674,0.433713611398217,-0.0948421703727913,0.926867558228691,1,-5.64070308306443
"CUST_1063_PI426227498",64,124,5269,"222788785_EZ017257.1","222788785_EZ017257.1_66-278","CUST_1063_PI426227498","FALSE","gi|222788785_EZ017257.1_66-278","EZ017257.1","EZ017257.1","EZ017257","desert hedgehog","Desert hedgehog protein (DHH)","Desert hedgehog protein (DHH)","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,0.028334575097009,0.425054718840633,0.0934316386877061,0.927951617192962,1,-5.64083460764279
"CUST_81_PI426232937",31,26,10730,"AY149123.1","AY149123.1","CUST_81_PI426232937","FALSE","gb|AY149123.1|gi|23986346","AY149123.1","AY149123.1","AY149123","","peridinin chlorophyll-a binding protein apoprotein precursor","peridinin chlorophyll-a binding protein apoprotein (pcp)","","photosynthesis","response to light","photosynthesis","ZOOX - photosynthesis","Symbiodinium sp.","zooxanthellae",NA,NA,-0.044052732849873,0.489950053177237,-0.0928611373421478,0.928390119861232,1,-5.64088724555286
"CUST_6_PI426227486",76,91,3399,"169402111_EU159467.1","169402111_EU159467.1_97-1540","CUST_6_PI426227486","FALSE","gi|169402111_EU159467.1_97-1540","EU159467.1","EU159467.1","EU159467","carbonic anhydrase","alpha carbonic anhydrase (CA)","alpha carbonic anhydrase (CA)","","misc","(revisit)","misc (fix)","misc","Stylophora pistillata","coral",NA,NA,-0.034586458273237,0.254760402812625,-0.0928516883163137,0.928397382857689,1,-5.64088811466999
"CUST_29_PI426264527",86,5,1802,"222800437_EZ028825.1","222800437_EZ028825.1_3-341","CUST_29_PI426264527","FALSE","gi|222800437_EZ028825.1_3-341","EZ028825.1","EZ028825.1","EZ028825","cd151 antigen","CD151 antigen (CD151)","CD151 antigen (CD151)","","cell adhesion","cell motility_cell-cell interaction","signaling","MF","Acropora millepora","coral",NA,NA,-0.0445995553288081,0.704368920851762,-0.0922887951359334,0.928830063817941,1,-5.64093973016717
"CUST_105_PI426266424",72,119,4041,"222786617_EZ015089.1","222786617_EZ015089.1_80-1585","CUST_105_PI426266424","FALSE","gi|222786617_EZ015089.1_80-1585","EZ015089.1","EZ015089.1","EZ015089","huntingtin interacting protein 1","Huntingtin-interacting protein 1 (HIP1)","Huntingtin-interacting protein 1 (HIP1)","","transcription regulation","endocytosis_cell death induction","regulation of apoptosis","MF","Acropora millepora","coral",NA,NA,0.0551693266346396,0.830265482648218,0.0918725534714432,0.929150034002091,1,-5.64097769683689
"CUST_16_PI426244589",85,160,1807,"222794162_EZ022550.1","222794162_EZ022550.1_418-1518","CUST_16_PI426244589","FALSE","gi|222794162_EZ022550.1_418-1518","EZ022550.1","EZ022550.1","EZ022550","neural cell adhesion molecule 1","Neural cell adhesion molecule 1","Neural cell adhesion molecule 1","","adhesion_celljunction","(revisit)","signaling","NCF","Acropora millepora","coral",NA,NA,0.0474927247740265,0.529573707598115,0.0913524653143594,0.929549851693154,1,-5.64102489506106
"CUST_276_PI426232940",88,25,1464,"288950309_GQ501380.1","288950309_GQ501380.1_22-468","CUST_276_PI426232940","FALSE","gi|288950309_GQ501380.1_22-468","GQ501380.1","GQ501380.1","GQ501380","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (MT-CO1)","","ETC","respiration","cellular respiration","NCF","Symbiodinium sp. clade A","zooxanthellae",NA,NA,-0.0183047352509726,5.90364781374254,-0.0906490298364367,0.930090651706108,1,-5.64108830688173
"CUST_1_PI426266430",96,60,53,"168989224_DQ482985.1","168989224_DQ482985.1_1-1181","CUST_1_PI426266430","FALSE","gi|168989224_DQ482985.1_1-1181","DQ482985.1","DQ482985.1","DQ482985","tnf receptor-associated factor 3","TNF receptor associated factor 3","TNF receptor associated factor 3","","apoptosis","immune response","immune response","ZOOX - immune response","Symbiodinium sp. clade C","zooxanthellae",NA,NA,-0.0367475591965536,0.494599739391779,-0.090555826578095,0.930162309141997,1,-5.64109667208544
"CUST_1006_PI426227498",91,9,980,"222786936_EZ015408.1","222786936_EZ015408.1_486-872","CUST_1006_PI426227498","FALSE","gi|222786936_EZ015408.1_486-872","EZ015408.1","EZ015408.1","EZ015408","mitogen-activated protein kinase associated protein 1","Target of rapamycin complex 2 subunit MAPKAP1 (MAPKAP1)","Target of rapamycin complex 2 subunit MAPKAP1 (MAPKAP1)","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,0.0273063261921898,0.173589578254548,0.0901870718091507,0.930445825459462,1,-5.64112968448775
"CUST_58_PI426266615",88,139,1407,"Ac_20_201_235","Ac_20_201_235","CUST_58_PI426266615","FALSE","","Ac_20","EZ019620","Ac_20","","Frizzled-8 (fzd8)","Frizzled-8 (fzd8)","","cellular signaling","(revisit)","signaling","NCF","Acropora millepora","coral",NA,NA,0.0273063261921898,0.173589578254548,0.0901870718091507,0.930445825459462,1,-5.64112968448775
"CUST_32_PI426247733",53,50,7110,"222785212_EZ013846.1","222785212_EZ013846.1_10-882","CUST_32_PI426247733","FALSE","gi|222785212_EZ013846.1_10-882","EZ013846.1","EZ013846.1","EZ013846","homeobox protein six4","Homeobox protein SIX4 (SIX4","Homeobox protein SIX4 (SIX4","","homeobox","DNA binding","regulation of transcription","NCF","Acropora millepora","coral",NA,NA,0.034586458273237,0.55251898642691,0.0900707220679528,0.930535282921129,1,-5.64114007269229
"CUST_75_PI426226825",82,18,2370,"222779516_EZ008187.1","222779516_EZ008187.1_5-388","CUST_75_PI426226825","FALSE","gi|222779516_EZ008187.1_5-388","EZ008187.1","EZ008187.1","EZ008187","apaf1-interacting protein homolog","APAF1-interacting protein homolog (apip)","APAF1-interacting protein homolog (apip)","","apoptosis","anti-apoptosis","regulation of apoptosis","MF","Acropora millepora","coral",NA,NA,-0.0530547083537012,0.773179604463203,-0.0899765804344126,0.930607666079245,1,-5.6411484682697
"CUST_30_PI426267032",81,65,2592,"168989246_DQ483007.1","168989246_DQ483007.1_919-1035","CUST_30_PI426267032","FALSE","gi|168989246_DQ483007.1_919-1035","DQ483007.1","DQ483007.1","DQ483007","ccaat enhancer binding protein (c ebp) gamma","CCAAT enhancer-binding protein-like mRNA","CCAAT enhancer-binding protein-like mRNA","","transcription regulation","DNA binding","regulation of transcription","ZOOX - transcription","Symbiodinium sp. clade C","zooxanthellae",NA,NA,-0.0343617620400463,3.39096314452138,-0.0891429056183352,0.931248688014133,1,-5.64122243339709
"CUST_158_PI426266615",39,80,9391,"AY532062_423_457","AY532062_423_457","CUST_158_PI426266615","FALSE","","AY532062","AY532062.1","AY532062","","zinc finger transcription factor (snail)","zinc finger transcription factor (snail)","","transcription regulation","(revisit)","transcription","NCF","Acropora millepora","coral",NA,NA,-0.0273063261921897,0.386399544022939,-0.0890610622528885,0.931311621205019,1,-5.64122965765993
"CUST_113_PI426245467",80,10,2702,"222785918_EZ014400.1","222785918_EZ014400.1_19-959","CUST_113_PI426245467","FALSE","gi|222785918_EZ014400.1_19-959","EZ014400.1","EZ014400.1","EZ014400","calcium and integrin binding protein cib","Calcium and integrin-binding family member 2 (Cib2)","Calcium and integrin-binding family member 2 (Cib2)","","calcium signaling","calcium ion binding","signaling","NCF","Acropora millepora","coral",NA,NA,0.0297602299027551,0.554338746671883,0.088880686727748,0.931450322208959,1,-5.6412455559213
"CUST_4_PI426247727",90,69,1114,"222548852_EZ004765.1","222548852_EZ004765.1_7-219","CUST_4_PI426247727","FALSE","gi|222548852_EZ004765.1_7-219","EZ004765.1","EZ004765.1","EZ004765","glycogen phosphorylase","Glycogen phosphorylase (GlyP)","Glycogen phosphorylase (GlyP)","","glycogenolysis","(revisit)","metabolism","NCF","Acropora millepora","coral",NA,NA,0.043592130636054,0.655095451743442,0.0888732395607783,0.931456048813358,1,-5.64124621162182
"CUST_6_PI426266424",82,29,2446,"222546668_EZ002858.1","222546668_EZ002858.1_160-438","CUST_6_PI426266424","FALSE","gi|222546668_EZ002858.1_160-438","EZ002858.1","EZ002858.1","EZ002858","coatomer protein subunit beta 2 (beta prime)","Coatomer subunit beta' (copb2)","Coatomer subunit beta' (copb2)","","protein transport","intra-Golgi vesicle-mediated transport","protein transport","NCF","Acropora millepora","coral",NA,NA,0.0369725244564436,0.641133296417445,0.0883583843376887,0.931851964375822,1,-5.64129141017189
"CUST_168_PI426232937",95,78,208,"AY149162.1","AY149162.1","CUST_168_PI426232937","FALSE","gb|AY149162.1|gi|23986573","AY149162.1","AY149162.1","AY149162","","peridinin chlorophyll-a binding protein apoprotein precursor","peridinin chlorophyll-a binding protein apoprotein (pcp)","","photosynthesis","response to light","photosynthesis","ZOOX - photosynthesis","Symbiodinium pulchrorum","zooxanthellae",NA,NA,-0.0515329916832111,0.525698231147402,-0.0872849139934406,0.932677511438667,1,-5.64138480625634
"CUST_289_PI426232940",93,138,506,"288950314_GQ501385.1","288950314_GQ501385.1_13-465","CUST_289_PI426232940","FALSE","gi|288950314_GQ501385.1_13-465","GQ501385.1","GQ501385.1","GQ501385","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (MT-CO1)","","ETC","respiration","cellular respiration","NCF","Symbiodinium sp.","zooxanthellae",NA,NA,-0.0167488487561096,6.0268686124155,-0.0869471884100228,0.932937255741313,1,-5.64141395413918
"CUST_117_PI426266349",64,144,5259,"222785263_EZ013897.1","222785263_EZ013897.1_741-962","CUST_117_PI426266349","FALSE","gi|222785263_EZ013897.1_741-962","EZ013897.1","EZ013897.1","EZ013897","e3 ubiquitin-protein ligase hectd1","E3 ubiquitin-protein ligase HECTD1 (HECTD1)","E3 ubiquitin-protein ligase HECTD1 (HECTD1)","","protein ubiquitination","transferase","protein modification","MF","Acropora millepora","coral",NA,NA,-0.0398031701701076,0.614798117738097,-0.0869291974006024,0.932951092844924,1,-5.64141550371553
"CUST_127_PI426266317",26,92,11517,"222788530_EZ017002.1","222788530_EZ017002.1_79-1092","CUST_127_PI426266317","FALSE","gi|222788530_EZ017002.1_79-1092","EZ017002.1","EZ017002.1","EZ017002","calumenin isoform 1","Calumenin (Calu)","Calumenin (Calu)","","protein modification","calcium ion binding_protein folding and sorting","protein modification","MF","Acropora millepora","coral",NA,NA,-0.0420271039166009,0.714316302470788,-0.0862149301564453,0.933500464137016,1,-5.64147676546048
"CUST_12_PI426247723",87,30,1544,"EZ029226.1","EZ029226.1","CUST_12_PI426247723","FALSE","gb|EZ029226.1|gi|222800838","EZ029226.1","EZ029226.1","EZ029226","glycogen synthase kinase 3 beta","Glycogen synthase kinase-3 beta (GSK3B)","Glycogen synthase kinase-3 beta (GSK3B)","","glycogen metabolism","(revisit)","metabolism","NCF","Acropora millepora","coral",NA,NA,-0.0397880046029774,0.763713875671599,-0.0861898569067675,0.93351974966452,1,-5.64147890679671
"CUST_269_PI426232937",89,52,1205,"FN646414.1","FN646414.1","CUST_269_PI426232937","FALSE","emb|FN646414.1|gi|306430542","FN646414.1","FN646414.1","FN646414","","light harvesting complex protein","light-harvesting protein","","photosynthesis","response to light","photosynthesis","ZOOX - photosynthesis","Symbiodinium sp.","zooxanthellae",NA,NA,-0.0554784137076931,1.34386678238973,-0.0856249309565881,0.933954284765472,1,-5.64152698853939
"CUST_557_PI426227498",89,66,1198,"222782567_EZ011238.1","222782567_EZ011238.1_1227-1358","CUST_557_PI426227498","FALSE","gi|222782567_EZ011238.1_1227-1358","EZ011238.1","EZ011238.1","EZ011238","rho gtpase activating protein 18","Rho GTPase-activating protein 18 (Arhgap18)","Rho GTPase-activating protein 18 (Arhgap18)","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,0.0297602299027551,0.274644342616626,0.0854826554562433,0.93406372533181,1,-5.64153904809684
"CUST_342_PI426266615",51,63,7513,"MGID_68_113_147","MGID_68_113_147","CUST_342_PI426266615","FALSE","","MGID_68","EZ036082.1","MGID_68","","poly(A) binding protein (PABPC4)","poly(A) binding protein (PABPC4)","","translation","RNA binding","nucleic acid modification","NCF","Acropora millepora","coral",NA,NA,-0.0297602299027551,0.482069180707088,-0.0853618994450755,0.934156613945743,1,-5.64154926791835
"CUST_1393_PI426227498",71,151,4189,"222801268_EZ029656.1","222801268_EZ029656.1_1183-1299","CUST_1393_PI426227498","FALSE","gi|222801268_EZ029656.1_1183-1299","EZ029656.1","EZ029656.1","EZ029656","g protein-coupled receptor 143","G-protein coupled receptor 143 (GPR143)","G-protein coupled receptor 143 (GPR143)","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,-0.0336549539861972,0.336018423457559,-0.0850894962171562,0.934366157447319,1,-5.64157226900465
"CUST_6_PI426247733",86,81,1764,"222781649_EZ010320.1","222781649_EZ010320.1_48-401","CUST_6_PI426247733","FALSE","gi|222781649_EZ010320.1_48-401","EZ010320.1","EZ010320.1","EZ010320","homeobox d4","Homeobox protein Hox-D4 (HOXD4","Homeobox protein Hox-D4 (HOXD4","","homeobox","DNA binding","regulation of transcription","NCF","Acropora millepora","coral",NA,NA,-0.0345186207458781,0.342454498911698,-0.0848393470837178,0.934558587036629,1,-5.64159332639074
"CUST_136_PI426266317",80,110,2652,"222789661_EZ018093.1","222789661_EZ018093.1_132-440","CUST_136_PI426266317","FALSE","gi|222789661_EZ018093.1_132-440","EZ018093.1","EZ018093.1","EZ018093","endothelin converting enzyme 2","Endothelin-converting enzyme 2 (ECE2)","Endothelin-converting enzyme 2 (ECE2)","","protease","metalloprotease activity_apoptosis","proteolysis","MF","Acropora millepora","coral",NA,NA,0.0243734375300482,0.17900529807647,0.0847630956018844,0.934617245128644,1,-5.64159973288593
