"","Column","Row","RefNumber","Name.Append","Name","ID","ControlType","TopHit","Correct.Accession.number","Accession","Probe","blast2go.Seq.Description","NCBI.Accession.name","Gene","Gene.Code","Probe.Group","Modified.Probe.Group","Function","FC","Species.Detail","Species.Group","X","X.1","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CUST_48_PI426226825",92,123,759,"222784955_EZ013589.1","222784955_EZ013589.1_166-402","CUST_48_PI426226825","FALSE","gi|222784955_EZ013589.1_166-402","EZ013589.1","EZ013589.1","EZ013589","bifunctional apoptosis regulator","Bifunctional apoptosis regulator (BFAR)","Bifunctional apoptosis regulator (BFAR)","","apoptosis","apoptosis","regulation of apoptosis","MF","Acropora millepora","coral",NA,NA,0.0370219791906423,0.409250099483792,0.0837278975934785,0.935413635654314,1,-5.90041066704778
"CUST_70_PI426266311",82,145,2388,"222796418_EZ024806.1","222796418_EZ024806.1_575-784","CUST_70_PI426266311","FALSE","gi|222796418_EZ024806.1_575-784","EZ024806.1","EZ024806.1","EZ024806","ras-related protein rab-27a","Ras-related protein Rab-27A (Rab27a)","Ras-related protein Rab-27A (Rab27a)","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,0.0494358200740712,0.59216831944019,0.0829589218525827,0.936005268632893,1,-5.90047775067065
"CUST_78_PI426227495",84,33,2116,"222795387_EZ023775.1","222795387_EZ023775.1_146-1348","CUST_78_PI426227495","FALSE","gi|222795387_EZ023775.1_146-1348","EZ023775.1","EZ023775.1","EZ023775","ribosomal protein s6 kinase alpha-3","Ribosomal protein S6 kinase alpha-3 (Rps6ka3)","Ribosomal protein S6 kinase alpha-3 (Rps6ka3)","","ribosomal","(revisit)","translation","NCF","Acropora millepora","coral",NA,NA,-0.0368656918509896,0.407250338345552,-0.0828290487902831,0.936105194320791,1,-5.90048901951145
"CUST_148_PI426246026",85,114,1830,"222546551_EZ002741.1","222546551_EZ002741.1_924-1283","CUST_148_PI426246026","FALSE","gi|222546551_EZ002741.1_924-1283","EZ002741.1","EZ002741.1","EZ002741","cytochrome c oxidase subunit i","Cytochrome c oxidase subunit 1 (COI)","Cytochrome c oxidase subunit 1 (COI)","","ETC","respiration","cellular respiration","NCF","Acropora millepora","coral",NA,NA,-0.0196009949575657,10.1299560764644,-0.0811847890904124,0.937370409202198,1,-5.9006301649596
"CUST_48_PI426264540",82,92,2333,"222784773_EZ013409.1","222784773_EZ013409.1_276-524","CUST_48_PI426264540","FALSE","gi|222784773_EZ013409.1_276-524","EZ013409.1","EZ013409.1","EZ013409","patatin-like phospholipase domain containing 8","Calcium-independent phospholipase A2-gamma (PNPLA8)","Calcium-independent phospholipase A2-gamma (PNPLA8)","","Fatty acid metabolim","lipid degradation","metabolism","NCF","Acropora millepora","coral",NA,NA,0.0356726587593864,0.349114841676403,0.080784878597443,0.937678158860267,1,-5.90066406674737
"CUST_220_PI426227486",91,37,966,"222783343_EZ012008.1","222783343_EZ012008.1_7-458","CUST_220_PI426227486","FALSE","gi|222783343_EZ012008.1_7-458","EZ012008.1","EZ012008.1","EZ012008","germ cell-less 1","Germ cell-less protein-like 1 (Gmcl1","Germ cell-less protein-like 1 (Gmcl1","","misc","(revisit)","misc (fix)","misc","Acropora millepora","coral",NA,NA,0.0452715932063568,0.594118899313843,0.0801336762997751,0.938179313209978,1,-5.90071891380041
"CUST_1105_PI426227498",87,90,1514,"222790172_EZ018566.1","222790172_EZ018566.1_628-819","CUST_1105_PI426227498","FALSE","gi|222790172_EZ018566.1_628-819","EZ018566.1","EZ018566.1","EZ018566","regulator of g-protein signaling 19","Regulator of G-protein signaling 19 (Rgs19)","Regulator of G-protein signaling 19 (Rgs19)","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,0.0273529777245379,0.285879400213016,0.0798783799487398,0.938375793065058,1,-5.90074029504481
"CUST_67_PI426226915",89,141,1242,"222546088_EZ002278.1","222546088_EZ002278.1_38-520","CUST_67_PI426226915","FALSE","gi|222546088_EZ002278.1_38-520","EZ002278.1","EZ002278.1","EZ002278","collagen alpha-2 chain precursor","Collagen alpha-2(I) chain (COL1A2)","Collagen alpha-2(I) chain (COL1A2)","","cytoskeletal","protein binding","cytoskeletal organization","MF","Acropora millepora","coral",NA,NA,0.0488822261097954,0.796542755940982,0.0791942001327274,0.938902370262322,1,-5.90079725974081
"CUST_117_PI426266349",64,144,5259,"222785263_EZ013897.1","222785263_EZ013897.1_741-962","CUST_117_PI426266349","FALSE","gi|222785263_EZ013897.1_741-962","EZ013897.1","EZ013897.1","EZ013897","e3 ubiquitin-protein ligase hectd1","E3 ubiquitin-protein ligase HECTD1 (HECTD1)","E3 ubiquitin-protein ligase HECTD1 (HECTD1)","","protein ubiquitination","transferase","protein modification","MF","Acropora millepora","coral",NA,NA,-0.0405150415898214,0.614798117738097,-0.0791424132949562,0.938942229181098,1,-5.90080155159039
"CUST_85_PI426245467",51,140,7393,"222783148_EZ011817.1","222783148_EZ011817.1_120-599","CUST_85_PI426245467","FALSE","gi|222783148_EZ011817.1_120-599","EZ011817.1","EZ011817.1","EZ011817","calcyphosin-like protein","Calcyphosin-like protein (CAPSL)","Calcyphosin-like protein (CAPSL)","","signal transduction","calcium ion binding","signaling","MF","Acropora millepora","coral",NA,NA,0.0518728166482103,0.483918759835834,0.0785013392000053,0.939435661693753,1,-5.9008544487134
"CUST_63_PI426226915",63,25,5564,"222545996_EZ002186.1","222545996_EZ002186.1_36-281","CUST_63_PI426226915","FALSE","gi|222545996_EZ002186.1_36-281","EZ002186.1","EZ002186.1","EZ002186","kinesin motor domain containing protein","Kinesin-like protein KIF1B (KIF1B)","Kinesin-like protein KIF1B (KIF1B)","","cytoskeletal","cilium_flagella transport","cytoskeletal organization","MF","Acropora millepora","coral",NA,NA,0.0569745261173418,1.23370772487435,0.07780438569344,0.939972136205172,1,-5.90091146935736
"CUST_12_PI426227884",65,46,5144,"222781550_EZ010221.1","222781550_EZ010221.1_1502-1609","CUST_12_PI426227884","FALSE","gi|222781550_EZ010221.1_1502-1609","EZ010221.1","EZ010221.1","EZ010221","isocitrate dehydrogenase","Isocitrate dehydrogenase","Isocitrate dehydrogenase","","reactive O2 species metabolism","(revisit)","oxidative stress","SR","Acropora millepora","coral",NA,NA,0.035494133049312,0.43840508096117,0.0777417406327307,0.940020358364313,1,-5.9009165697435
"CUST_166_PI426232940",52,130,7234,"288950264_GQ501335.1","288950264_GQ501335.1_22-495","CUST_166_PI426232940","FALSE","gi|288950264_GQ501335.1_22-495","GQ501335.1","GQ501335.1","GQ501335","cytochrome oxidase subunit I","cytochrome oxidase subunit I (cox1)","cytochrome oxidase subunit I (cox1); MT-CO1","","cell respiration","ETC","cellular respiration","NCF","Symbiodinium kawagutii","zooxanthellae",NA,NA,-0.0183964764919171,5.80579915014394,-0.0772092190884031,0.940430287063032,1,-5.9009597605459
"CUST_24_PI426246029",55,21,6878,"222784062_EZ012720.1","222784062_EZ012720.1_1178-1669","CUST_24_PI426246029","FALSE","gi|222784062_EZ012720.1_1178-1669","EZ012720.1","EZ012720.1","EZ012720","chymotrypsinogen b1","Chymotrypsinogen B (Ctrb1)","Chymotrypsinogen B (Ctrb1)","","digestion_storage","protease_endopeptidase","proteolysis","MF","Acropora millepora","coral",NA,NA,-0.0512716470786199,2.4622704724082,-0.0770386326862938,0.940561606461247,1,-5.90097353348577
"CUST_6_PI426226868",91,145,912,"222781545_EZ010216.1","222781545_EZ010216.1_149-826","CUST_6_PI426226868","FALSE","gi|222781545_EZ010216.1_149-826","EZ010216.1","EZ010216.1","EZ010216","cell cycle checkpoint control protein rad9b-like","Cell cycle checkpoint control protein RAD9B homolog (RAD9B)","Cell cycle checkpoint control protein RAD9B homolog (RAD9B)","","cell cycle regulation","protein binding","DNA repair","SR","Acropora millepora","coral",NA,NA,0.041034855507304,0.42677028702027,0.07679761188973,0.94074715039743,1,-5.90099294137149
"CUST_1057_PI426227498",48,14,7948,"222788731_EZ017203.1","222788731_EZ017203.1_15-725","CUST_1057_PI426227498","FALSE","gi|222788731_EZ017203.1_15-725","EZ017203.1","EZ017203.1","EZ017203","mitogen-activated protein kinase kinase kinase 13","Mitogen-activated protein kinase kinase kinase 13 (MAP3K13)","Mitogen-activated protein kinase kinase kinase 13 (MAP3K13)","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,0.0356726587593864,0.523829692252014,0.0766540732569265,0.940857651929378,1,-5.90100447078719
"CUST_198_PI426227486",12,6,13856,"222783021_EZ011690.1","222783021_EZ011690.1_8-169","CUST_198_PI426227486","FALSE","gi|222783021_EZ011690.1_8-169","EZ011690.1","EZ011690.1","EZ011690","f-box wd repeat-containing protein 7 isoform 1","F-box/WD repeat-containing protein 7 (Fbxw7)","F-box/WD repeat-containing protein 7 (Fbxw7)","","misc","(revisit)","misc (fix)","misc","Acropora millepora","coral",NA,NA,-0.0312858465523103,0.395645146623557,-0.0765714653209162,0.940921247302124,1,-5.90101109632002
"CUST_1165_PI426227498",71,86,4140,"222792017_EZ020405.1","222792017_EZ020405.1_1410-1568","CUST_1165_PI426227498","FALSE","gi|222792017_EZ020405.1_1410-1568","EZ020405.1","EZ020405.1","EZ020405","adenylate kinase 1","Adenylate kinase isoenzyme 1 (AK1)","Adenylate kinase isoenzyme 1 (AK1)","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,-0.0318997824197758,0.24174923162819,-0.0756398085441159,0.941638510698926,1,-5.90108532561442
"CUST_303_PI426232940",89,93,1266,"288950318_GQ501389.1","288950318_GQ501389.1_22-453","CUST_303_PI426232940","FALSE","gi|288950318_GQ501389.1_22-453","GQ501389.1","GQ501389.1","GQ501389","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (MT-CO1)","","ETC","respiration","cellular respiration","NCF","Symbiodinium sp.","zooxanthellae",NA,NA,-0.023073601429827,6.39003873996982,-0.0752423986265649,0.941944485832943,1,-5.90111671301933
"CUST_14_PI426244597",91,164,821,"222784716_EZ013354.1","222784716_EZ013354.1_1908-2018","CUST_14_PI426244597","FALSE","gi|222784716_EZ013354.1_1908-2018","EZ013354.1","EZ013354.1","EZ013354","transport protein sec61 subunit alpha 2","Protein transport protein Sec61 subunit alpha isoform 2 (Sec61a2)","Protein transport protein Sec61 subunit alpha isoform 2 (Sec61a2)","","protein transport","autophagy_phagocytosis","protein transport","NCF","Acropora millepora","coral",NA,NA,0.024712891849645,0.575017670599341,0.0752039997733694,0.941974050550969,1,-5.90111973701192
"CUST_6_PI426266271",75,109,3554,"222546273_EZ002463.1","222546273_EZ002463.1_4-534","CUST_6_PI426266271","FALSE","gi|222546273_EZ002463.1_4-534","EZ002463.1","EZ002463.1","EZ002463","rna binding motif protein 25","RNA-binding protein 25 (RBM25)","RNA-binding protein 25 (RBM25)","","nucleic acid binding","RNA binding_mRNA processing","transcription","NCF","Acropora millepora","coral",NA,NA,-0.0427065657800867,2.30035608145955,-0.0749303707392148,0.942184730601259,1,-5.90114124126679
"CUST_26_PI426266615",69,67,4559,"Ac_10_137_171","Ac_10_137_171","CUST_26_PI426266615","FALSE","","Ac_10","EZ024210","Ac_10","","Glutathione S-transferase Mu 3 (GSTM3)","Glutathione S-transferase Mu 3 (GSTM3)","","reactive O2 species metabolism","metabolism of xenobiotics & drugs","response to xenobiotic","SR","Acropora millepora","coral",NA,NA,-0.0312858465523103,0.405885018945628,-0.0747514043904622,0.94232252797292,1,-5.90115526373466
"CUST_300_PI426232937",95,6,244,"FN646421.1","FN646421.1","CUST_300_PI426232937","FALSE","emb|FN646421.1|gi|306430556","FN646421.1","FN646421.1","FN646421","","light-harvesting protein","light-harvesting protein","","photosynthesis","response to light","photosynthesis","ZOOX - photosynthesis","Symbiodinium sp.","zooxanthellae",NA,NA,-0.0461780363423412,0.752303989051173,-0.0745760426416672,0.942457551957412,1,-5.90116897129811
"CUST_121_PI426227486",78,17,3108,"222781701_EZ010372.1","222781701_EZ010372.1_140-679","CUST_121_PI426227486","FALSE","gi|222781701_EZ010372.1_140-679","EZ010372.1","EZ010372.1","EZ010372","diamine acetyltransferase 2","Diamine acetyltransferase 2 (SAT2)","Diamine acetyltransferase 2 (SAT2)","","misc","(revisit)","misc (fix)","misc","Acropora millepora","coral",NA,NA,-0.0464649690750596,0.672392687007047,-0.0739544630698699,0.942936168087741,1,-5.90121729962295
"CUST_63_PI426226868",36,73,9968,"222782207_EZ010878.1","222782207_EZ010878.1_307-1026","CUST_63_PI426226868","FALSE","gi|222782207_EZ010878.1_307-1026","EZ010878.1","EZ010878.1","EZ010878","cell growth regulator with ring finger domain protein 1","Cell growth regulator with RING finger domain protein 1 (Cgrrf1)","Cell growth regulator with RING finger domain protein 1 (Cgrrf1)","","cell cycle regulation","(revisit)","cell cycle regulation","NCF","Acropora millepora","coral",NA,NA,0.0504510174197255,0.927807031149331,0.0729209405916724,0.943732035069702,1,-5.90129676276786
"CUST_19_PI426244589",53,87,7173,"222545349_EZ001539.1","222545349_EZ001539.1_30-926","CUST_19_PI426244589","FALSE","gi|222545349_EZ001539.1_30-926","EZ001539.1","EZ001539.1","EZ001539","tight junction protein zo-2","Tight junction protein ZO-2 (Tjp2","Tight junction protein ZO-2 (Tjp2","","adhesion_celljunction","(revisit)","signaling","NCF","Acropora millepora","coral",NA,NA,-0.0237876199730183,0.698554848970092,-0.0725773229213707,0.94399665390639,1,-5.90132293472291
"CUST_51_PI426227884",67,72,4803,"222785253_EZ013887.1","222785253_EZ013887.1_212-934","CUST_51_PI426227884","FALSE","gi|222785253_EZ013887.1_212-934","EZ013887.1","EZ013887.1","EZ013887","2-oxoglutarate dehydrogenase","2-oxoglutarate dehydrogenase E1 component-like","2-oxoglutarate dehydrogenase E1 component-like","","glycolysis","TCA cycle","metabolism","NCF","Acropora millepora","coral",NA,NA,0.0318447833104805,0.677308423880565,0.0722903738343181,0.944217638166164,1,-5.90134469588305
"CUST_93_PI426266271",93,130,510,"222783742_EZ012402.1","222783742_EZ012402.1_2-685","CUST_93_PI426266271","FALSE","gi|222783742_EZ012402.1_2-685","EZ012402.1","EZ012402.1","EZ012402","heterogeneous nuclear ribonucleoprotein a b","Heterogeneous nuclear ribonucleoprotein A/B (Hnrnpab)","Heterogeneous nuclear ribonucleoprotein A/B (Hnrnpab)","","nucleic acid binding","RNA binding","regulation of transcription","NCF","Acropora millepora","coral",NA,NA,0.0318447833104806,0.428339323879196,0.0715927566436299,0.944754906309373,1,-5.90139724156072
"CUST_12_PI426226825",73,10,3850,"222783480_EZ012143.1","222783480_EZ012143.1_333-785","CUST_12_PI426226825","FALSE","gi|222783480_EZ012143.1_333-785","EZ012143.1","EZ012143.1","EZ012143","aryl hydrocarbon receptor","Aryl hydrocarbon receptor (AHR)","Aryl hydrocarbon receptor (AHR)","","xenobiotic response","regulates xenobiotic-metabolizing enzymes","response to xenobiotic","SR","Acropora millepora","coral",NA,NA,0.0273529777245379,0.338069709579322,0.0712070770613574,0.945051949508108,1,-5.9014260731782
"CUST_13_PI426227884",59,113,6176,"222781550_EZ010221.1","222781550_EZ010221.1_230-1609","CUST_13_PI426227884","FALSE","gi|222781550_EZ010221.1_230-1609","EZ010221.1","EZ010221.1","EZ010221","isocitrate dehydrogenase","Isocitrate dehydrogenase","Isocitrate dehydrogenase","","TCA cycle","energy production","metabolism","NCF","Acropora millepora","coral",NA,NA,0.0273529777245379,0.365903455103145,0.0711945803146749,0.945061574422983,1,-5.90142700477587
"CUST_29_PI426247730",80,28,2693,"222801625_EZ030013.1","222801625_EZ030013.1_64-545","CUST_29_PI426247730","FALSE","gi|222801625_EZ030013.1_64-545","EZ030013.1","EZ030013.1","EZ030013","fructose -bisphosphate aldolase","Fructose-bisphosphate aldolase C (aldoc)","Fructose-bisphosphate aldolase C (aldoc)","","glycolysis","(revisit)","metabolism","NCF","Acropora millepora","coral",NA,NA,0.0442342737443308,0.648026564500381,0.0711405200846437,0.945103211379986,1,-5.90143103293454
"CUST_192_PI426226825",57,2,6478,"222783480_EZ012143.1","222783480_EZ012143.1_333-1063","CUST_192_PI426226825","FALSE","gi|222783480_EZ012143.1_333-1063","EZ012143.1","EZ012143.1","EZ012143","aryl hydrocarbon receptor","Aryl hydrocarbon receptor (AHR)","Aryl hydrocarbon receptor (AHR)","","xenobiotic response","(revisit)","response to xenobiotic","SR","Acropora millepora","coral",NA,NA,-0.0318997824197758,0.357049132929508,-0.0711066219650577,0.945129319658379,1,-5.90143355720686
"CUST_50_PI426226978",95,19,319,"222794007_EZ022395.1","222794007_EZ022395.1_22-1703","CUST_50_PI426226978","FALSE","gi|222794007_EZ022395.1_22-1703","EZ022395.1","EZ022395.1","EZ022395","x-ray repair cross-complementing protein 5","ATP-dependent DNA helicase 2 subunit 2 (XRCC5)","ATP-dependent DNA helicase 2 subunit 2 (XRCC5)","","DNA damage repair","neg reg transcription_proviral infection","DNA repair","SR","Acropora millepora","coral",NA,NA,0.0393473095411115,0.561268279090137,0.0708214524569593,0.945348959575817,1,-5.90145474519973
"CUST_346_PI426266615",29,4,11069,"MGID_897_217_251","MGID_897_217_251","CUST_346_PI426266615","FALSE","","MGID_897","EZ010424.1","MGID_897","","Ribonucleoside-diphosphate reductase small chain (RNR2; RRM2)","Ribonucleoside-diphosphate reductase small chain (RNR2; RRM2)","","nucleic acid binding","(revisit)","nucleic acid modification","NCF","Acropora millepora","coral",NA,NA,0.0474821488638727,0.823196833555018,0.0700172924024069,0.945968357230692,1,-5.90151403605617
"CUST_255_PI426227486",93,24,563,"222783949_EZ012607.1","222783949_EZ012607.1_15-329","CUST_255_PI426227486","FALSE","gi|222783949_EZ012607.1_15-329","EZ012607.1","EZ012607.1","EZ012607","queuine trna-ribosyltransferase 1","Queuine tRNA-ribosyltransferase (QTRT1","Queuine tRNA-ribosyltransferase (QTRT1","","misc","(revisit)","misc (fix)","misc","Acropora millepora","coral",NA,NA,0.0273529777245379,0.332278406768066,0.0678938543718148,0.947604106033227,1,-5.90166734742232
"CUST_79_PI426227884",60,119,6009,"222801530_EZ029918.1","222801530_EZ029918.1_46-933","CUST_79_PI426227884","FALSE","gi|222801530_EZ029918.1_46-933","EZ029918.1","EZ029918.1","EZ029918","pyruvate dehydrogenase","pyruvate dehydrogenase E1","pyruvate dehydrogenase E1","","TCA cycle","energy production","metabolism","NCF","Acropora millepora","coral",NA,NA,0.0261286090964695,0.219988584809598,0.0674943302398945,0.947911901631218,1,-5.90169566588621
"CUST_1030_PI426227498",90,159,1069,"222787406_EZ015878.1","222787406_EZ015878.1_59-397","CUST_1030_PI426227498","FALSE","gi|222787406_EZ015878.1_59-397","EZ015878.1","EZ015878.1","EZ015878","suppressor of cytokine signaling 2","Suppressor of cytokine signaling 2 (SOCS2","Suppressor of cytokine signaling 2 (SOCS2","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,-0.0366891778540507,0.970942077306717,-0.066428656843168,0.948732948006522,1,-5.90177038489961
