"","Transcript.family","p.diff.expr","PostFC","RealFC","annotation","sequence.name","unique.ID","ortholog","homology.score","homolog","family.orthology","family.homology","additional.information"
"11","tr100148",0.995833860335761,13.0255048291242,1751.17515279749,NA,"salinity.id20917.tr100148","id20917","extracted_CDS GOMatch=A7RRV9 GOTerms=GO:0003824,GO:0005542,GO:0008152,GO:0016740,GO:0044237 Gene=Formimidoyltransferase-cyclodeaminase_ Match_Acc=D3BQY2 gene=isogroup22083 length=349 numContigs=1",NA,"","","","1_of_1_in_tr100148 len=214 id=20917 tr=100148"
"12","tr100165",0.999999993489112,0.127072157735979,0.114681528662101,NA,"salinity.id20091.tr100165","id20091","",NA,"","","","1_of_1_in_tr100165 len=219 id=20091 tr=100165"
"13","tr100166",0.999998870863307,5.7303833108412,6.17329435262525,NA,"salinity.id20860.tr100166","id20860","",NA,"","","","1_of_1_in_tr100166 len=323 id=20860 tr=100166"
"14","tr100167",0.966388363272843,10.3531704226522,1362.24734106472,NA,"salinity.id16501.tr100167","id16501","",NA,"","","","1_of_1_in_tr100167 len=226 id=16501 tr=100167"
"15","tr100169",0.999980641518019,20.3744244469224,2820.72663506263,NA,"salinity.id15386.tr100169","id15386","",NA,"","","","1_of_1_in_tr100169 len=236 id=15386 tr=100169"
"16","tr100188",0.999999448113469,25.7190932598664,3598.58225852818,NA,"salinity.id3331.tr100188","id3331","extracted_CDS length=264 region=3 run=R_2010_02_19_08_49_25_ xy=2626_1763",NA,"","","","1_of_1_in_tr100188 len=230 id=3331 tr=100188"
"17","tr100213",0.99567570340388,2.46442485204676,2.46974272638811,NA,"salinity.id25301.tr100213","id25301","",12,"extracted_CDS GOMatch=D2W3U5 GOTerms=GO:0016491,GO:0055114 Gene=2OG-Fe(II)_oxygenase_ Match_Acc=Q3M330 gene=isogroup06394 length=766 numContigs=1","","","1_of_1_in_tr100213 len=969 id=25301 tr=100213"
"18","tr100220",0.999490884265406,4.29556758761153,4.65157170707176,NA,"salinity.id8376.tr100220","id8376","",45,"extracted_CDS GOMatch=A7SBZ8 GOTerms=GO:0003735,GO:0005840,GO:0006412,GO:0015934 Gene=L13a_ Match_Acc=Q4KTH2 gene=isogroup08704 length=652 numContigs=1","","","1_of_1_in_tr100220 len=337 id=8376 tr=100220"
"19","tr100228",0.999999999272087,0.102927317701085,0.0896578825690416,NA,"salinity.id42013.tr100228","id42013","",NA,"","","","1_of_1_in_tr100228 len=227 id=42013 tr=100228"
"20","tr100229",0.971094844275494,0.424055193018851,0.417781095275765,NA,"salinity.id36254.tr100229","id36254","",NA,"","","","1_of_1_in_tr100229 len=274 id=36254 tr=100229"
"21","tr100230",0.978827647395795,3.34725359810863,3.62192906572508,NA,"salinity.id14981.tr100230","id14981","",NA,"","","","1_of_1_in_tr100230 len=271 id=14981 tr=100230"
"22","tr100248",0.995142188166864,0.323583278445766,0.311076713548952,NA,"salinity.id2382.tr100248","id2382","",NA,"","","","1_of_1_in_tr100248 len=217 id=2382 tr=100248"
"23","tr100335",0.993184211109032,2.90620067560981,2.99854663361739,NA,"salinity.id19547.tr100335","id19547","",NA,"","","","1_of_1_in_tr100335 len=256 id=19547 tr=100335"
"24","tr100354",0.988220974172847,11.6893376258882,1556.7112469311,NA,"salinity.id20459.tr100354","id20459","",NA,"","","","1_of_1_in_tr100354 len=213 id=20459 tr=100354"
"25","tr100396",0.999999969860621,30.3956784711926,4279.20592906054,NA,"salinity.id32543.tr100396","id32543","extracted_CDS length=264 region=2 run=R_2010_02_19_08_49_25_ xy=1677_0357",NA,"","","","1_of_1_in_tr100396 len=209 id=32543 tr=100396"
"26","tr100460",0.999999999947004,10.3108992178356,11.6181605486033,NA,"salinity.id35894.tr100460","id35894","",NA,"","","","1_of_1_in_tr100460 len=382 id=35894 tr=100460"
"27","tr10052",0.999887604830459,0.319200068785264,0.315163185465504,NA,"salinity.id39991.tr10052","id39991","",NA,"","","","1_of_1_in_tr10052 len=379 id=39991 tr=10052"
"28","tr100523",0.99999993206852,29.0595112679565,4084.74202319415,NA,"salinity.id17554.tr100523","id17554","",NA,"","","","1_of_1_in_tr100523 len=213 id=17554 tr=100523"
"29","tr100598",0.999709815863127,3.66839540234605,3.81834115050289,NA,"salinity.id28598.tr100598","id28598","",NA,"","","","1_of_1_in_tr100598 len=499 id=28598 tr=100598"
"30","tr100600",0.997588374277508,0.256582289697417,0.236494080732243,NA,"salinity.id9067.tr100600","id9067","",NA,"","","","1_of_1_in_tr100600 len=211 id=9067 tr=100600"
"31","tr100601",0.999990379497004,7.33068919489345,8.81112431790639,NA,"salinity.id4670.tr100601","id4670","",39,"extracted_CDS GOMatch=A7S5Y0 GOTerms=GO:0003824,GO:0004252,GO:0006508,GO:0008233,GO:0008236,GO:0016787 gene=isogroup05962 length=777 numContigs=1","","","1_of_1_in_tr100601 len=231 id=4670 tr=100601"
"32","tr10061",0.990458251789978,2.66350712811747,2.72051445604606,NA,"salinity.id25158.tr10061","id25158","",27,"extracted_CDS GOMatch=A7RTB4 GOTerms=GO:0000166,GO:0004672,GO:0004674,GO:0005524,GO:0006468 Gene=Serine/threonine-protein_kinase_11_ Match_Acc=Q0GGW5 gene=isogroup13372 length=474 numContigs=1","","","1_of_1_in_tr10061 len=363 id=25158 tr=10061"
"33","tr100614",0.997994916466008,0.223431841861454,0.198056857201356,NA,"salinity.id1650.tr100614","id1650","",NA,"","","","1_of_1_in_tr100614 len=242 id=1650 tr=100614"
"34","tr100621",0.99999993206852,29.0595112679565,4084.74202319415,NA,"salinity.id16199.tr100621","id16199","extracted_CDS GOMatch=A7RKZ9 GOTerms=GO:0008270 Gene=Vacuolar_protein_sorting_protein_18_ Match_Acc=B7ZVV5 gene=isogroup11258 length=541 numContigs=1",NA,"","","","1_of_1_in_tr100621 len=252 id=16199 tr=100621"
"35","tr100646",0.999996838963174,23.0467588533944,3209.6544467954,NA,"salinity.id11114.tr100646","id11114","extracted_CDS gene=isogroup06943 length=740 numContigs=1",NA,"","","","1_of_1_in_tr100646 len=223 id=11114 tr=100646"
"36","tr100654",0.993066208825778,3.42663796978112,3.65384677731375,NA,"salinity.id15179.tr100654","id15179","",NA,"","","","1_of_1_in_tr100654 len=299 id=15179 tr=100654"
"37","tr100656",0.999999975198912,7.991922867986,8.97359715950015,NA,"salinity.id37860.tr100656","id37860","",NA,"","","","1_of_1_in_tr100656 len=336 id=37860 tr=100656"
"38","tr100730",0.999996580868987,3.4919771433629,3.51596299448911,NA,"salinity.id2833.tr100730","id2833","",NA,"","","","2_of_2_in_tr100730 len=404 id=2833 tr=100730"
"39","tr100730",0.999996580868987,3.4919771433629,3.51596299448911,NA,"salinity.id2832.tr100730","id2832","",NA,"","","","1_of_2_in_tr100730 len=311 id=2832 tr=100730"
"40","tr100737",0.999999308447017,4.28613072305726,4.38437109512923,NA,"salinity.id17186.tr100737","id17186","",NA,"","","","1_of_1_in_tr100737 len=581 id=17186 tr=100737"
"41","tr10075",0.993857091467314,3.02416938531659,3.13791399475889,NA,"salinity.id6655.tr10075","id6655","",NA,"","","","1_of_1_in_tr10075 len=376 id=6655 tr=10075"
"42","tr100825",0.953342757510327,2.71487948443177,2.83532354282487,NA,"salinity.id16051.tr100825","id16051","extracted_CDS GOMatch=D2I4U6 GOTerms=GO:0003677,GO:0004221,GO:0005634,GO:0005737,GO:0008270,GO:0015630,GO:0016579,GO:0043124 Gene=OTU_domain_containing_7B_(Fragment)_ Match_Acc=Q5SZ59 gene=isogroup15076 length=438 numContigs=1",NA,"","","","1_of_1_in_tr100825 len=301 id=16051 tr=100825"
"43","tr100835",0.95640922947426,3.56436771546028,4.01430879884694,NA,"salinity.id11373.tr100835","id11373","",NA,"","","","1_of_1_in_tr100835 len=247 id=11373 tr=100835"
"44","tr100841",0.999449532003957,4.679099511058,5.19564946078138,NA,"salinity.id24455.tr100841","id24455","",NA,"","","","1_of_1_in_tr100841 len=230 id=24455 tr=100841"
"45","tr100850",0.999962656255592,7.29443832766535,9.06021635895531,NA,"salinity.id33028.tr100850","id33028","",NA,"","","","1_of_1_in_tr100850 len=318 id=33028 tr=100850"
"46","tr100859",0.999427319737017,0.258102208088448,0.243209332045551,NA,"salinity.id6912.tr100859","id6912","",NA,"","","","1_of_1_in_tr100859 len=226 id=6912 tr=100859"
"47","tr10090",0.999997969065465,23.7148424550124,3306.8863997286,NA,"salinity.id6787.tr10090","id6787","",NA,"","","","1_of_1_in_tr10090 len=208 id=6787 tr=10090"
"48","tr100901",0.999999189920543,0.187604499284824,0.176731963327644,NA,"salinity.id9998.tr100901","id9998","",NA,"","","","1_of_1_in_tr100901 len=338 id=9998 tr=100901"
"49","tr100918",0.999918601153966,3.19186970806102,3.2308573573933,NA,"salinity.id44890.tr100918","id44890","",NA,"","","","1_of_1_in_tr100918 len=549 id=44890 tr=100918"
"50","tr10095",0.995684654265647,0.31105488977791,0.297224987278185,NA,"salinity.id48736.tr10095","id48736","",NA,"","","","1_of_1_in_tr10095 len=265 id=48736 tr=10095"
"51","tr101025",0.999999448113469,25.7190932598664,3598.58225852818,NA,"salinity.id2627.tr101025","id2627","",NA,"","","","1_of_1_in_tr101025 len=206 id=2627 tr=101025"
"52","tr10103",0.999451723484249,3.50010126411496,3.63518862779069,NA,"salinity.id31418.tr10103","id31418","extracted_CDS GOMatch=A7RFK1 GOTerms=GO:0005509 gene=isogroup10800 length=557 numContigs=1",NA,"","","","1_of_1_in_tr10103 len=501 id=31418 tr=10103"
"53","tr101049",0.9999507949354,19.0382572436864,2626.26272919624,NA,"salinity.id40691.tr101049","id40691","",NA,"","","","1_of_1_in_tr101049 len=221 id=40691 tr=101049"
"54","tr10105",0.999663444307066,16.3659228372142,2237.33491746346,NA,"salinity.id19380.tr10105","id19380","",NA,"","","","1_of_1_in_tr10105 len=256 id=19380 tr=10105"
"55","tr10106",0.956693528494412,3.13583394773935,3.38576910123921,NA,"salinity.id34.tr10106","id34","",NA,"","","","1_of_1_in_tr10106 len=247 id=34 tr=10106"
"56","tr101067",0.999997163515987,5.61148308948498,6.07408127253098,NA,"salinity.id46826.tr101067","id46826","",NA,"","","","1_of_1_in_tr101067 len=386 id=46826 tr=101067"
"57","tr101081",0.991348742157317,0.39649587147875,0.391098783696062,NA,"salinity.id26225.tr101081","id26225","extracted_CDS GOMatch=A7SRJ2 GOTerms=GO:0005509 Gene=Protein_phosphatase_PP2A,_putative_ Match_Acc=B7PQ19 gene=isogroup01587 length=2076 numContigs=1",NA,"","","","1_of_1_in_tr101081 len=524 id=26225 tr=101081"
"58","tr101084",0.988220974172847,11.6893376258882,1556.7112469311,NA,"salinity.id11347.tr101084","id11347","",NA,"","","","1_of_1_in_tr101084 len=247 id=11347 tr=101084"
"59","tr101090",0.998993683607275,3.2651006394234,3.37117694113618,NA,"salinity.id30352.tr101090","id30352","extracted_CDS length=311 region=1 run=R_2010_02_19_08_49_25_ xy=0344_2347",NA,"","","","1_of_1_in_tr101090 len=355 id=30352 tr=101090"
"60","tr101107",0.999998368272165,4.6441471353251,4.82699081110547,NA,"salinity.id22900.tr101107","id22900","",NA,"","","","1_of_2_in_tr101107 len=300 id=22900 tr=101107"
"61","tr101107",0.999998368272165,4.6441471353251,4.82699081110547,NA,"salinity.id22901.tr101107","id22901","",NA,"","","","2_of_2_in_tr101107 len=415 id=22901 tr=101107"
"62","tr101112",0.995069298821161,2.72396476575081,2.77550347625858,NA,"salinity.id33992.tr101112","id33992","extracted_CDS GOMatch=A7SV26 GOTerms=GO:0007165 Gene=AF6-like_protein_(Fragment)_ Match_Acc=D1LWV7 gene=isogroup19615 length=378 numContigs=1",NA,"","","","1_of_1_in_tr101112 len=600 id=33992 tr=101112"
"63","tr101115",0.999607844404231,4.26222712868347,4.58947550260755,NA,"salinity.id16191.tr101115","id16191","extracted_CDS GOMatch=B3S2H0 GOTerms=GO:0005509,GO:0016020,GO:0016021 Gene=Low-density_lipoprotein_receptor-related_protein_2_ Match_Acc=C3YYR4 gene=isogroup17654 length=405 numContigs=1",NA,"","","","1_of_1_in_tr101115 len=312 id=16191 tr=101115"
"64","tr101133",0.999999109141099,8.35066760288136,10.0696252332254,NA,"salinity.id14412.tr101133","id14412","",NA,"","","","1_of_1_in_tr101133 len=334 id=14412 tr=101133"
"65","tr10115",0.990008634782102,4.5257485729267,5.35024680077902,NA,"salinity.id8993.tr10115","id8993","",NA,"","","","1_of_1_in_tr10115 len=229 id=8993 tr=10115"
"66","tr101165",0.984377013896793,2.77804165821715,2.87055719124537,NA,"salinity.id32540.tr101165","id32540","",18,"extracted_CDS GOMatch=A7SB64 GOTerms=GO:0004407,GO:0005634,GO:0006351,GO:0006355,GO:0016568,GO:0016575,GO:0016787,GO:0031078,GO:0032041,GO:0032129,GO:0034739,GO:0046969,GO:0046970 Gene=Histone_deacetylase_3_ Match_Acc=Q28DV3 gene=isogroup03869 length=1031 numContigs=1","","","1_of_1_in_tr101165 len=254 id=32540 tr=101165"
"67","tr1012",0.968399928696725,0.429342194519437,0.423357633373819,NA,"salinity.id7473.tr1012","id7473","",NA,"","","","1_of_1_in_tr1012 len=400 id=7473 tr=1012"
"68","tr101205",0.999924866155502,0.251976127134507,0.241250093546773,NA,"salinity.id26269.tr101205","id26269","",NA,"","","","1_of_1_in_tr101205 len=235 id=26269 tr=101205"
"69","tr101211",0.984507347519231,2.51559402665176,2.55995964508631,NA,"salinity.id38991.tr101211","id38991","",NA,"","","","1_of_1_in_tr101211 len=351 id=38991 tr=101211"
"70","tr101253",0.995042185321769,0.351932116929094,0.343003755000094,NA,"salinity.id47789.tr101253","id47789","extracted_CDS gene=isogroup18481 length=393 numContigs=1",NA,"","","","1_of_1_in_tr101253 len=344 id=47789 tr=101253"
"71","tr101266",0.999999999999999,33.0804116317304,55.5138862168583,NA,"salinity.id17348.tr101266","id17348","",25,"extracted_CDS gene=isogroup04261 length=977 numContigs=1","","","1_of_1_in_tr101266 len=268 id=17348 tr=101266"
"72","tr101272",0.99999346556707,0.233702741825443,0.225156285632009,NA,"salinity.id38439.tr101272","id38439","",NA,"","","","1_of_1_in_tr101272 len=321 id=38439 tr=101272"
"73","tr101287",0.996760322570956,4.46809122229687,5.07659861865672,NA,"salinity.id8834.tr101287","id8834","",NA,"","","","1_of_1_in_tr101287 len=264 id=8834 tr=101287"
"74","tr101300",0.99999505941493,22.3786752517764,3112.42249386221,NA,"salinity.id3609.tr101300","id3609","",NA,"","","","1_of_1_in_tr101300 len=230 id=3609 tr=101300"
"75","tr101313",0.996534139529948,0.327593472910894,0.316732793598686,NA,"salinity.id22574.tr101313","id22574","",NA,"","","","1_of_1_in_tr101313 len=281 id=22574 tr=101313"
"76","tr101314",0.995041258224905,3.33540658404487,3.51764851954597,NA,"salinity.id31196.tr101314","id31196","",NA,"","","","1_of_1_in_tr101314 len=259 id=31196 tr=101314"
"77","tr10132",0.999997969065465,23.7148424550124,3306.8863997286,NA,"salinity.id6962.tr10132","id6962","extracted_CDS Gene=Transcription_factor_CP2B,_putative_ Match_Acc=Q17K78 gene=isogroup07408 length=720 numContigs=1",NA,"","","","1_of_1_in_tr10132 len=207 id=6962 tr=10132"
"78","tr101343",0.99865718778631,0.280648725623211,0.266411805303301,NA,"salinity.id478.tr101343","id478","",49,"extracted_CDS GOMatch=D2HKD6 GOTerms=GO:0005624,GO:0005737,GO:0005764,GO:0006605,GO:0006996,GO:0007040,GO:0007596,GO:0016023,GO:0030318,GO:0042470,GO:0042803,GO:0042827,GO:0046983,GO:0050821 Gene=Hermansky-Pudlak_syndrome_4_ Match_Acc=Q6P1K3 gene=isogroup01999 length=1570 numContigs=1","","","1_of_1_in_tr101343 len=220 id=478 tr=101343"
"79","tr101367",1,0.0378172934917804,0.0305476224805101,NA,"salinity.id49327.tr101367","id49327","",NA,"","","","1_of_1_in_tr101367 len=336 id=49327 tr=101367"
"80","tr101391",0.976524654253274,2.84682411505703,2.97036140302781,NA,"salinity.id9108.tr101391","id9108","",58,"extracted_CDS GOMatch=A7RKY5 GOTerms=GO:0003824,GO:0005488,GO:0008152,GO:0008270,GO:0016491,GO:0046872,GO:0055114 Gene=Putative_zinc-containing_alcohol_dehydrogenase_ Match_Acc=Q4PP82 gene=isogroup02054 length=1533 numContigs=1","","","1_of_1_in_tr101391 len=229 id=9108 tr=101391"
"81","tr101398",0.971888189789363,2.80464695513069,2.92536293927014,NA,"salinity.id3800.tr101398","id3800","",NA,"","","","1_of_1_in_tr101398 len=363 id=3800 tr=101398"
"82","tr101427",0.999962656255592,7.29443832766535,9.06021635895531,NA,"salinity.id2050.tr101427","id2050","",NA,"","","","1_of_1_in_tr101427 len=279 id=2050 tr=101427"
"83","tr101442",0.999998689782536,24.3829260566304,3404.11835266179,NA,"salinity.id7614.tr101442","id7614","extracted_CDS GOMatch=Q6NVP8 GOTerms=GO:0005794,GO:0008424,GO:0016020,GO:0016021,GO:0016740,GO:0016757,GO:0017124,GO:0032580,GO:0033578 Gene=Alpha-(1,6)-fucosyltransferase_ Match_Acc=Q6NVP8 gene=isogroup13987 length=464 numContigs=1",NA,"","","","1_of_1_in_tr101442 len=262 id=7614 tr=101442"
"84","tr101483",0.950610715206426,2.13039826347052,2.14014391387959,NA,"salinity.id22383.tr101483","id22383","extracted_CDS GOMatch=Q6DCN4 GOTerms=GO:0003824,GO:0004363,GO:0005524,GO:0006750,GO:0016874 Gene=Gssls-A-prov_protein_ Match_Acc=Q6DCN4 gene=isogroup00617 length=863 numContigs=2",NA,"","","","1_of_1_in_tr101483 len=954 id=22383 tr=101483"
"85","tr101536",0.999999897473608,28.3914276663385,3987.51007026095,NA,"salinity.id8292.tr101536","id8292","",NA,"","","","1_of_1_in_tr101536 len=226 id=8292 tr=101536"
"86","tr101554",0.99985122336723,0.303496139441802,0.297340223184644,NA,"salinity.id840.tr101554","id840","",NA,"","","","1_of_1_in_tr101554 len=369 id=840 tr=101554"
"87","tr10160",0.999950889590587,0.149478369005429,0.123498999934315,NA,"salinity.id11605.tr10160","id11605","",30,"extracted_CDS GOMatch=A7RG03 GOTerms=GO:0005215,GO:0006810,GO:0008271,GO:0008272,GO:0016020,GO:0016021,GO:0055085 Gene=Putative_anion_transporter_1_ Match_Acc=Q9NQU1 gene=isogroup11117 length=542 numContigs=1","","","1_of_1_in_tr10160 len=203 id=11605 tr=10160"
"88","tr101609",0.998499975566678,14.3616720323602,1945.63905866388,NA,"salinity.id11084.tr101609","id11084","",21,"extracted_CDS GOMatch=C3XV77 GOTerms=GO:0005044,GO:0005230,GO:0005488,GO:0005509,GO:0005886,GO:0006810,GO:0006811,GO:0007155,GO:0007156,GO:0016020,GO:0016021 Gene=Serine/threonine_kinase_ Match_Acc=D2VJ61 gene=isogroup01900 length=1638 numContigs=1","","","1_of_1_in_tr101609 len=205 id=11084 tr=101609"
"89","tr101641",0.973817478695887,2.28287946801406,2.30360047820209,NA,"salinity.id33957.tr101641","id33957","",NA,"","","","1_of_1_in_tr101641 len=619 id=33957 tr=101641"
"90","tr101652",0.995289074179049,0.281442769062432,0.262745323845144,NA,"salinity.id7741.tr101652","id7741","",NA,"","","","1_of_1_in_tr101652 len=219 id=7741 tr=101652"
"91","tr101664",0.999710216064534,0.323903128077524,0.318653846382451,NA,"salinity.id2123.tr101664","id2123","",22,"extracted_CDS GOMatch=A7S3C2 GOTerms=GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0019843 Gene=60S_ribosomal_protein_L9_ Match_Acc=C3KHP5 gene=isogroup09430 length=616 numContigs=1","","","1_of_1_in_tr101664 len=324 id=2123 tr=101664"
"92","tr101669",0.99906347095092,2.83941120813055,2.8748183591533,NA,"salinity.id36314.tr101669","id36314","",NA,"","","","1_of_1_in_tr101669 len=598 id=36314 tr=101669"
"93","tr101679",0.999999999949797,41.7530996986988,5932.14912892483,NA,"salinity.id4690.tr101679","id4690","",NA,"","","","1_of_1_in_tr101679 len=266 id=4690 tr=101679"
"94","tr101696",0.998971570974283,0.263298402499225,0.247372423028915,NA,"salinity.id7625.tr101696","id7625","",NA,"","","","1_of_1_in_tr101696 len=377 id=7625 tr=101696"
"95","tr101713",0.998412145414901,2.87606589993656,2.92675988167534,NA,"salinity.id19934.tr101713","id19934","",NA,"","","","1_of_1_in_tr101713 len=571 id=19934 tr=101713"
"96","tr101724",0.999621265883672,11.1552481264455,25.2897680708417,NA,"salinity.id11688.tr101724","id11688","",20,"extracted_CDS GOMatch=A7RK36 GOTerms=GO:0003676,GO:0008270,GO:0046872 Gene=ARIH2_protein_ Match_Acc=Q6IBL8 gene=isogroup06694 length=753 numContigs=1","","","1_of_1_in_tr101724 len=218 id=11688 tr=101724"
"97","tr101733",0.988220974172847,11.6893376258882,1556.7112469311,NA,"salinity.id23548.tr101733","id23548","",NA,"","","","1_of_1_in_tr101733 len=221 id=23548 tr=101733"
"98","tr101734",0.996372118139991,9.1979685682733,20.6082609401594,NA,"salinity.id4006.tr101734","id4006","",NA,"","","","1_of_1_in_tr101734 len=215 id=4006 tr=101734"
"99","tr101778",0.993008234497446,12.3574212275062,1653.9431998643,NA,"salinity.id39779.tr101778","id39779","",NA,"","","","1_of_1_in_tr101778 len=227 id=39779 tr=101778"
"100","tr101805",0.999992245077586,21.7105916501584,3015.19054092901,NA,"salinity.id3249.tr101805","id3249","",NA,"","","","1_of_1_in_tr101805 len=236 id=3249 tr=101805"
"101","tr101817",0.992473841951489,0.372680281303789,0.364947425629395,NA,"salinity.id27869.tr101817","id27869","",NA,"","","","1_of_2_in_tr101817 len=259 id=27869 tr=101817"
"102","tr101817",0.992473841951489,0.372680281303789,0.364947425629395,NA,"salinity.id27870.tr101817","id27870","",NA,"","","","2_of_2_in_tr101817 len=245 id=27870 tr=101817"
"103","tr101819",0.999999999698152,38.4126816906087,5445.98936425886,NA,"salinity.id4540.tr101819","id4540","",16,"extracted_CDS GOMatch=D3RFJ9 GOTerms=GO:0004364,GO:0016740 Gene=Glutathione_transferase_ Match_Acc=D3RFJ9 gene=isogroup03237 length=1150 numContigs=1","","","1_of_1_in_tr101819 len=373 id=4540 tr=101819"
"104","tr101825",0.992646818661111,0.284950800898038,0.264856433862807,NA,"salinity.id2407.tr101825","id2407","",NA,"","","","1_of_1_in_tr101825 len=204 id=2407 tr=101825"
"105","tr101855",0.958750126392019,2.68486754244885,2.79245063895122,NA,"salinity.id47752.tr101855","id47752","",NA,"","","","1_of_1_in_tr101855 len=312 id=47752 tr=101855"
"106","tr101870",0.995556663121422,3.54182523683412,3.77981915607932,NA,"salinity.id11007.tr101870","id11007","extracted_CDS GOMatch=A7RWE6 GOTerms=GO:0003676,GO:0005622,GO:0008270 Gene=Zinc_finger_protein_Gfi-1b_ Match_Acc=O42409 gene=isogroup04852 length=896 numContigs=1",NA,"","","","1_of_1_in_tr101870 len=278 id=11007 tr=101870"
"107","tr101920",0.999999763900977,27.0552604631025,3793.04616439457,NA,"salinity.id30964.tr101920","id30964","",NA,"","","","1_of_1_in_tr101920 len=216 id=30964 tr=101920"
"108","tr101935",0.999999829585397,14.532741457603,23.996036849236,NA,"salinity.id5914.tr101935","id5914","",NA,"","","","1_of_1_in_tr101935 len=215 id=5914 tr=101935"
"109","tr101942",0.999851837472868,3.22210276979609,3.27593671453574,NA,"salinity.id28779.tr101942","id28779","",NA,"","","","1_of_1_in_tr101942 len=497 id=28779 tr=101942"
"110","tr101949",0.999999954875629,13.1683117245017,18.8502515279945,NA,"salinity.id15144.tr101949","id15144","",NA,"","","","1_of_1_in_tr101949 len=289 id=15144 tr=101949"
"111","tr101951",0.999999999993646,45.7616013084067,6515.540846524,NA,"salinity.id1835.tr101951","id1835","",18,"extracted_CDS gene=isogroup25537 length=293 numContigs=1","","","1_of_1_in_tr101951 len=361 id=1835 tr=101951"
"112","tr101959",0.999925866030095,4.96813758427315,5.43248879345007,NA,"salinity.id8402.tr101959","id8402","",NA,"","","","1_of_1_in_tr101959 len=328 id=8402 tr=101959"
"113","tr101960",0.999999639715888,26.3871768614845,3695.81421146137,NA,"salinity.id22163.tr101960","id22163","",NA,"","","","1_of_1_in_tr101960 len=232 id=22163 tr=101960"
"114","tr101966",0.999866054779916,0.135278088100032,0.102441843359448,NA,"salinity.id7140.tr101966","id7140","extracted_CDS Gene=Protein_CLEC16A,_putative_(Fragment)_ Match_Acc=B7QP14 gene=isogroup22150 length=348 numContigs=1",NA,"","","","1_of_1_in_tr101966 len=219 id=7140 tr=101966"
"115","tr101994",0.976480457172853,0.447473496485131,0.445084312373077,NA,"salinity.id24272.tr101994","id24272","",19,"extracted_CDS GOMatch=B8NNN6 GOTerms=GO:0016491,GO:0020037,GO:0046872,GO:0055114 Gene=Cytochrome_B5,_putative_ Match_Acc=B8NNN6 gene=isogroup03525 length=1093 numContigs=1","","","1_of_1_in_tr101994 len=321 id=24272 tr=101994"
