TR102218_c3_g3_i1	sp-Q95334-AMPE_PIG	sp-Q95334-AMPE_PIG Glutamyl aminopeptidase OS=Sus scrofa GN=ENPEP PE=1 SV=1
TR102531_c1_g1_i13	sp-Q80TR4-SLIT1_MOUSE	sp-Q80TR4-SLIT1_MOUSE Slit homolog 1 protein OS=Mus musculus GN=Slit1 PE=1 SV=2
TR102531_c1_g1_i13	sp-O88279-SLIT1_RAT	sp-O88279-SLIT1_RAT Slit homolog 1 protein OS=Rattus norvegicus GN=Slit1 PE=1 SV=1
TR102531_c1_g1_i13	sp-O88279-SLIT1_RAT	sp-O88279-SLIT1_RAT Slit homolog 1 protein OS=Rattus norvegicus GN=Slit1 PE=1 SV=1
TR102531_c1_g1_i13	sp-Q9R1B9-SLIT2_MOUSE	sp-Q9R1B9-SLIT2_MOUSE Slit homolog 2 protein OS=Mus musculus GN=Slit2 PE=2 SV=2
TR102531_c1_g1_i13	sp-Q9R1B9-SLIT2_MOUSE	sp-Q9R1B9-SLIT2_MOUSE Slit homolog 2 protein OS=Mus musculus GN=Slit2 PE=2 SV=2
TR102531_c1_g1_i13	sp-P24014-SLIT_DROME	sp-P24014-SLIT_DROME Protein slit OS=Drosophila melanogaster GN=sli PE=1 SV=2
TR102531_c1_g1_i13	sp-P24014-SLIT_DROME	sp-P24014-SLIT_DROME Protein slit OS=Drosophila melanogaster GN=sli PE=1 SV=2
TR102531_c1_g1_i13	sp-Q9BY71-LRRC3_HUMAN	sp-Q9BY71-LRRC3_HUMAN Leucine-rich repeat-containing protein 3 OS=Homo sapiens GN=LRRC3 PE=1 SV=1
TR102531_c1_g1_i13	sp-A4IFA6-ISLR_BOVIN	sp-A4IFA6-ISLR_BOVIN Immunoglobulin superfamily containing leucine-rich repeat protein OS=Bos taurus GN=ISLR PE=2 SV=1
TR102531_c1_g1_i13	sp-P59035-LRRC3_RAT	sp-P59035-LRRC3_RAT Leucine-rich repeat-containing protein 3 OS=Rattus norvegicus GN=Lrrc3 PE=2 SV=1
TR102531_c1_g1_i13	sp-Q5NVQ6-ISLR_PONAB	sp-Q5NVQ6-ISLR_PONAB Immunoglobulin superfamily containing leucine-rich repeat protein OS=Pongo abelii GN=ISLR PE=2 SV=1
TR102539_c10_g13_i3	sp-P63696-Y941_MYCBO	sp-P63696-Y941_MYCBO Uncharacterized transporter Mb0941 OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=Mb0941 PE=3 SV=1
TR102539_c10_g13_i3	sp-P9WPR7-Y917_MYCTU	sp-P9WPR7-Y917_MYCTU Uncharacterized transporter Rv0917 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=Rv0917 PE=3 SV=1
TR102539_c10_g13_i3	sp-P9WPR6-Y917_MYCTO	sp-P9WPR6-Y917_MYCTO Uncharacterized transporter MT0942 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=MT0942 PE=3 SV=1
TR102539_c10_g13_i3	sp-G3XCN6-BETS_RHIML	sp-G3XCN6-BETS_RHIML Glycine betaine/proline betaine transporter BetS OS=Rhizobium meliloti GN=betS PE=1 SV=1
TR102539_c10_g13_i3	sp-Q6F754-GBTR_ACIAD	sp-Q6F754-GBTR_ACIAD Glycine betaine transporter OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) GN=ACIAD3460 PE=1 SV=1
TR102539_c10_g13_i3	sp-Q9X4A5-BETL_LISMN	sp-Q9X4A5-BETL_LISMN Glycine betaine transporter BetL OS=Listeria monocytogenes GN=betL PE=1 SV=1
TR102539_c10_g13_i3	sp-Q6FDF5-BETT2_ACIAD	sp-Q6FDF5-BETT2_ACIAD Osmo-dependent choline transporter BetT2 OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) GN=betT2 PE=1 SV=1
TR102539_c10_g13_i3	sp-P45335-Y1706_HAEIN	sp-P45335-Y1706_HAEIN Uncharacterized transporter HI_1706 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=HI_1706 PE=3 SV=1
TR102539_c10_g13_i5	sp-P63696-Y941_MYCBO	sp-P63696-Y941_MYCBO Uncharacterized transporter Mb0941 OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=Mb0941 PE=3 SV=1
TR102539_c10_g13_i5	sp-P9WPR7-Y917_MYCTU	sp-P9WPR7-Y917_MYCTU Uncharacterized transporter Rv0917 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=Rv0917 PE=3 SV=1
TR102539_c10_g13_i5	sp-P9WPR6-Y917_MYCTO	sp-P9WPR6-Y917_MYCTO Uncharacterized transporter MT0942 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=MT0942 PE=3 SV=1
TR102539_c10_g13_i5	sp-G3XCN6-BETS_RHIML	sp-G3XCN6-BETS_RHIML Glycine betaine/proline betaine transporter BetS OS=Rhizobium meliloti GN=betS PE=1 SV=1
TR102539_c10_g13_i5	sp-Q9X4A5-BETL_LISMN	sp-Q9X4A5-BETL_LISMN Glycine betaine transporter BetL OS=Listeria monocytogenes GN=betL PE=1 SV=1
TR102539_c10_g13_i5	sp-Q6F754-GBTR_ACIAD	sp-Q6F754-GBTR_ACIAD Glycine betaine transporter OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) GN=ACIAD3460 PE=1 SV=1
TR102539_c10_g13_i5	sp-P45335-Y1706_HAEIN	sp-P45335-Y1706_HAEIN Uncharacterized transporter HI_1706 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=HI_1706 PE=3 SV=1
TR102539_c10_g13_i5	sp-Q6FDF5-BETT2_ACIAD	sp-Q6FDF5-BETT2_ACIAD Osmo-dependent choline transporter BetT2 OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) GN=betT2 PE=1 SV=1
TR103546_c2_g8_i1	sp-Q8N6F8-WBS27_HUMAN	sp-Q8N6F8-WBS27_HUMAN Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=1 SV=2
TR103546_c2_g8_i1	sp-Q8EXJ3-MENG_LEPIN	sp-Q8EXJ3-MENG_LEPIN Demethylmenaquinone methyltransferase OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=menG PE=3 SV=1
TR103546_c2_g8_i1	sp-Q75FL1-MENG_LEPIC	sp-Q75FL1-MENG_LEPIC Demethylmenaquinone methyltransferase OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130) GN=menG PE=3 SV=1
TR103546_c2_g8_i1	sp-Q89AK7-BIOC_BUCBP	sp-Q89AK7-BIOC_BUCBP Malonyl-[acyl-carrier protein] O-methyltransferase OS=Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp) GN=bioC PE=3 SV=1
TR103546_c2_g8_i1	sp-P54458-YQEM_BACSU	sp-P54458-YQEM_BACSU Putative methyltransferase YqeM OS=Bacillus subtilis (strain 168) GN=yqeM PE=3 SV=1
TR103546_c2_g8_i1	sp-Q5FKI8-PRMA_LACAC	sp-Q5FKI8-PRMA_LACAC Ribosomal protein L11 methyltransferase OS=Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM) GN=prmA PE=3 SV=1
TR103546_c2_g8_i1	sp-A8YUZ6-PRMA_LACH4	sp-A8YUZ6-PRMA_LACH4 Ribosomal protein L11 methyltransferase OS=Lactobacillus helveticus (strain DPC 4571) GN=prmA PE=3 SV=1
TR103546_c2_g8_i1	sp-Q73HZ4-UBIE_WOLPM	sp-Q73HZ4-UBIE_WOLPM Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE OS=Wolbachia pipientis wMel GN=ubiE PE=3 SV=1
TR103546_c2_g8_i1	sp-A6H162-PRMC_FLAPJ	sp-A6H162-PRMC_FLAPJ Release factor glutamine methyltransferase OS=Flavobacterium psychrophilum (strain JIP02/86 / ATCC 49511) GN=prmC PE=3 SV=1
TR103546_c2_g8_i1	sp-D2T333-BIOC_ERWP6	sp-D2T333-BIOC_ERWP6 Malonyl-[acyl-carrier protein] O-methyltransferase OS=Erwinia pyrifoliae (strain DSM 12163 / CIP 106111 / Ep16/96) GN=bioC PE=3 SV=1
TR104938_c7_g1_i4	sp-Q5FVC7-ACAP2_RAT	sp-Q5FVC7-ACAP2_RAT Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Rattus norvegicus GN=Acap2 PE=1 SV=1
TR104938_c7_g1_i4	sp-Q5FVC7-ACAP2_RAT	sp-Q5FVC7-ACAP2_RAT Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Rattus norvegicus GN=Acap2 PE=1 SV=1
TR104938_c7_g1_i4	sp-Q5ZK62-ACAP2_CHICK	sp-Q5ZK62-ACAP2_CHICK Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Gallus gallus GN=ACAP2 PE=2 SV=1
TR104938_c7_g1_i4	sp-Q5ZK62-ACAP2_CHICK	sp-Q5ZK62-ACAP2_CHICK Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Gallus gallus GN=ACAP2 PE=2 SV=1
TR104938_c7_g1_i4	sp-Q15057-ACAP2_HUMAN	sp-Q15057-ACAP2_HUMAN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ACAP2 PE=1 SV=3
TR104938_c7_g1_i4	sp-Q15057-ACAP2_HUMAN	sp-Q15057-ACAP2_HUMAN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ACAP2 PE=1 SV=3
TR104938_c7_g1_i4	sp-Q6ZQK5-ACAP2_MOUSE	sp-Q6ZQK5-ACAP2_MOUSE Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus GN=Acap2 PE=1 SV=2
TR104938_c7_g1_i4	sp-Q6ZQK5-ACAP2_MOUSE	sp-Q6ZQK5-ACAP2_MOUSE Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus GN=Acap2 PE=1 SV=2
TR104938_c7_g1_i4	sp-Q6IVG4-ACAP2_RABIT	sp-Q6IVG4-ACAP2_RABIT Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Oryctolagus cuniculus GN=ACAP2 PE=2 SV=1
TR104938_c7_g1_i4	sp-Q6IVG4-ACAP2_RABIT	sp-Q6IVG4-ACAP2_RABIT Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Oryctolagus cuniculus GN=ACAP2 PE=2 SV=1
TR104938_c7_g1_i4	sp-A5PK26-ACAP1_BOVIN	sp-A5PK26-ACAP1_BOVIN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 OS=Bos taurus GN=ACAP1 PE=2 SV=1
TR104938_c7_g1_i4	sp-Q96P50-ACAP3_HUMAN	sp-Q96P50-ACAP3_HUMAN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens GN=ACAP3 PE=1 SV=2
TR104938_c7_g1_i4	sp-Q96P50-ACAP3_HUMAN	sp-Q96P50-ACAP3_HUMAN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens GN=ACAP3 PE=1 SV=2
TR104938_c7_g1_i4	sp-Q15027-ACAP1_HUMAN	sp-Q15027-ACAP1_HUMAN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ACAP1 PE=1 SV=1
TR104938_c7_g1_i4	sp-Q8K2H4-ACAP1_MOUSE	sp-Q8K2H4-ACAP1_MOUSE Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 OS=Mus musculus GN=Acap1 PE=1 SV=1
TR104938_c7_g1_i4	sp-Q96P47-AGAP3_HUMAN	sp-Q96P47-AGAP3_HUMAN Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens GN=AGAP3 PE=1 SV=2
TR106414_c0_g1_i3	sp-Q9UI17-M2GD_HUMAN	sp-Q9UI17-M2GD_HUMAN Dimethylglycine dehydrogenase, mitochondrial OS=Homo sapiens GN=DMGDH PE=1 SV=2
TR106414_c0_g1_i3	sp-Q63342-M2GD_RAT	sp-Q63342-M2GD_RAT Dimethylglycine dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Dmgdh PE=1 SV=1
TR106414_c0_g1_i3	sp-Q9DBT9-M2GD_MOUSE	sp-Q9DBT9-M2GD_MOUSE Dimethylglycine dehydrogenase, mitochondrial OS=Mus musculus GN=Dmgdh PE=1 SV=1
TR106414_c0_g1_i3	sp-B1XP99-GCST_SYNP2	sp-B1XP99-GCST_SYNP2 Aminomethyltransferase OS=Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) GN=gcvT PE=3 SV=1
TR106414_c0_g1_i3	sp-A2C5F7-GCST_PROM1	sp-A2C5F7-GCST_PROM1 Aminomethyltransferase OS=Prochlorococcus marinus (strain NATL1A) GN=gcvT PE=3 SV=1
TR106414_c0_g1_i3	sp-B7K468-GCST_CYAP8	sp-B7K468-GCST_CYAP8 Aminomethyltransferase OS=Cyanothece sp. (strain PCC 8801) GN=gcvT PE=3 SV=1
TR106414_c0_g1_i3	sp-Q46I99-GCST_PROMT	sp-Q46I99-GCST_PROMT Aminomethyltransferase OS=Prochlorococcus marinus (strain NATL2A) GN=gcvT PE=3 SV=1
TR106414_c0_g1_i3	sp-Q5N136-GCST_SYNP6	sp-Q5N136-GCST_SYNP6 Aminomethyltransferase OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) GN=gcvT PE=3 SV=1
TR106414_c0_g1_i3	sp-Q31KT1-GCST_SYNE7	sp-Q31KT1-GCST_SYNE7 Aminomethyltransferase OS=Synechococcus elongatus (strain PCC 7942) GN=gcvT PE=3 SV=1
TR106414_c0_g1_i3	sp-Q9AGP8-DMGO_ARTGO	sp-Q9AGP8-DMGO_ARTGO Dimethylglycine oxidase OS=Arthrobacter globiformis GN=dmg PE=1 SV=1
TR106640_c8_g5_i12	sp-Q3LU39-PROP1_GORGO	sp-Q3LU39-PROP1_GORGO Homeobox protein prophet of Pit-1 OS=Gorilla gorilla gorilla GN=PROP1 PE=3 SV=1
TR106640_c8_g5_i12	sp-O75360-PROP1_HUMAN	sp-O75360-PROP1_HUMAN Homeobox protein prophet of Pit-1 OS=Homo sapiens GN=PROP1 PE=1 SV=2
TR106640_c8_g5_i12	sp-O75364-PITX3_HUMAN	sp-O75364-PITX3_HUMAN Pituitary homeobox 3 OS=Homo sapiens GN=PITX3 PE=1 SV=1
TR106640_c8_g5_i12	sp-Q3LU40-PROP1_SAPAP	sp-Q3LU40-PROP1_SAPAP Homeobox protein prophet of Pit-1 OS=Sapajus apella GN=PROP1 PE=3 SV=1
TR106640_c8_g5_i12	sp-O35160-PITX3_MOUSE	sp-O35160-PITX3_MOUSE Pituitary homeobox 3 OS=Mus musculus GN=Pitx3 PE=1 SV=1
TR106640_c8_g5_i12	sp-P81062-PITX3_RAT	sp-P81062-PITX3_RAT Pituitary homeobox 3 OS=Rattus norvegicus GN=Pitx3 PE=1 SV=2
TR106640_c8_g5_i12	sp-A1A546-ISX_MOUSE	sp-A1A546-ISX_MOUSE Intestine-specific homeobox OS=Mus musculus GN=Isx PE=2 SV=2
TR106640_c8_g5_i12	sp-Q3LU41-PROP1_THEGE	sp-Q3LU41-PROP1_THEGE Homeobox protein prophet of Pit-1 OS=Theropithecus gelada GN=PROP1 PE=3 SV=1
TR106640_c8_g5_i12	sp-Q06453-AL_DROME	sp-Q06453-AL_DROME Homeobox protein aristaless OS=Drosophila melanogaster GN=al PE=1 SV=2
TR106640_c8_g5_i12	sp-Q1LVQ7-ALX1_DANRE	sp-Q1LVQ7-ALX1_DANRE ALX homeobox protein 1 OS=Danio rerio GN=alx1 PE=2 SV=1
TR108910_c7_g1_i2	sp-K7Z9Q9-VMP_NEMVE	sp-K7Z9Q9-VMP_NEMVE Nematocyst expressed protein 6 OS=Nematostella vectensis PE=2 SV=1
TR108910_c7_g1_i2	sp-P13497-BMP1_HUMAN	sp-P13497-BMP1_HUMAN Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2
TR108910_c7_g1_i2	sp-P13497-BMP1_HUMAN	sp-P13497-BMP1_HUMAN Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2
TR108910_c7_g1_i2	sp-Q9Y6L7-TLL2_HUMAN	sp-Q9Y6L7-TLL2_HUMAN Tolloid-like protein 2 OS=Homo sapiens GN=TLL2 PE=1 SV=1
TR108910_c7_g1_i2	sp-Q9Y6L7-TLL2_HUMAN	sp-Q9Y6L7-TLL2_HUMAN Tolloid-like protein 2 OS=Homo sapiens GN=TLL2 PE=1 SV=1
TR108910_c7_g1_i2	sp-O57382-TLL2_XENLA	sp-O57382-TLL2_XENLA Tolloid-like protein 2 OS=Xenopus laevis GN=tll2 PE=2 SV=1
TR108910_c7_g1_i2	sp-O57382-TLL2_XENLA	sp-O57382-TLL2_XENLA Tolloid-like protein 2 OS=Xenopus laevis GN=tll2 PE=2 SV=1
TR108910_c7_g1_i2	sp-Q9WVM6-TLL2_MOUSE	sp-Q9WVM6-TLL2_MOUSE Tolloid-like protein 2 OS=Mus musculus GN=Tll2 PE=1 SV=1
TR108910_c7_g1_i2	sp-Q9WVM6-TLL2_MOUSE	sp-Q9WVM6-TLL2_MOUSE Tolloid-like protein 2 OS=Mus musculus GN=Tll2 PE=1 SV=1
TR108910_c7_g1_i2	sp-P98070-BMP1_XENLA	sp-P98070-BMP1_XENLA Bone morphogenetic protein 1 OS=Xenopus laevis GN=bmp1 PE=1 SV=1
TR108910_c7_g1_i2	sp-P31579-LCE_ORYLA	sp-P31579-LCE_ORYLA Low choriolytic enzyme OS=Oryzias latipes GN=lce PE=1 SV=1
TR108910_c7_g1_i2	sp-P98063-BMP1_MOUSE	sp-P98063-BMP1_MOUSE Bone morphogenetic protein 1 OS=Mus musculus GN=Bmp1 PE=1 SV=2
TR108910_c7_g1_i2	sp-Q62381-TLL1_MOUSE	sp-Q62381-TLL1_MOUSE Tolloid-like protein 1 OS=Mus musculus GN=Tll1 PE=1 SV=1
TR108910_c7_g1_i2	sp-O43897-TLL1_HUMAN	sp-O43897-TLL1_HUMAN Tolloid-like protein 1 OS=Homo sapiens GN=TLL1 PE=1 SV=1
TR108912_c5_g1_i3	sp-Q7TQ79-T170B_RAT	sp-Q7TQ79-T170B_RAT Transmembrane protein 170B OS=Rattus norvegicus GN=Tmem170b PE=2 SV=2
TR108912_c5_g1_i3	sp-P86050-T170B_MOUSE	sp-P86050-T170B_MOUSE Transmembrane protein 170B OS=Mus musculus GN=Tmem170b PE=3 SV=1
TR108912_c5_g1_i3	sp-Q5T4T1-T170B_HUMAN	sp-Q5T4T1-T170B_HUMAN Transmembrane protein 170B OS=Homo sapiens GN=TMEM170B PE=3 SV=1
TR108912_c5_g1_i3	sp-Q9D342-T170A_MOUSE	sp-Q9D342-T170A_MOUSE Transmembrane protein 170A OS=Mus musculus GN=Tmem170a PE=2 SV=1
TR108912_c5_g1_i3	sp-Q8WVE7-T170A_HUMAN	sp-Q8WVE7-T170A_HUMAN Transmembrane protein 170A OS=Homo sapiens GN=TMEM170A PE=2 SV=1
TR108912_c5_g1_i3	sp-Q6DF87-T170A_XENLA	sp-Q6DF87-T170A_XENLA Transmembrane protein 170A OS=Xenopus laevis GN=tmem170a PE=2 SV=1
TR108912_c5_g1_i3	sp-A3KPL7-T170A_DANRE	sp-A3KPL7-T170A_DANRE Transmembrane protein 170A OS=Danio rerio GN=tmem170a PE=2 SV=1
TR108912_c5_g1_i3	sp-Q5ZM31-T170A_CHICK	sp-Q5ZM31-T170A_CHICK Transmembrane protein 170A OS=Gallus gallus GN=TMEM170A PE=2 SV=1
TR108912_c5_g1_i3	sp-Q54GN6-TM170_DICDI	sp-Q54GN6-TM170_DICDI Transmembrane protein 170 homolog OS=Dictyostelium discoideum GN=tmem170 PE=3 SV=1
TR117355_c3_g16_i2	sp-Q8WU66-TSEAR_HUMAN	sp-Q8WU66-TSEAR_HUMAN Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Homo sapiens GN=TSPEAR PE=2 SV=2
TR117355_c3_g16_i2	sp-Q8WU66-TSEAR_HUMAN	sp-Q8WU66-TSEAR_HUMAN Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Homo sapiens GN=TSPEAR PE=2 SV=2
TR117355_c3_g16_i2	sp-Q8WU66-TSEAR_HUMAN	sp-Q8WU66-TSEAR_HUMAN Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Homo sapiens GN=TSPEAR PE=2 SV=2
TR117355_c3_g16_i2	sp-Q8WU66-TSEAR_HUMAN	sp-Q8WU66-TSEAR_HUMAN Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Homo sapiens GN=TSPEAR PE=2 SV=2
TR117355_c3_g16_i2	sp-Q8WU66-TSEAR_HUMAN	sp-Q8WU66-TSEAR_HUMAN Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Homo sapiens GN=TSPEAR PE=2 SV=2
TR117355_c3_g16_i2	sp-J3S6Y1-TSEAR_MOUSE	sp-J3S6Y1-TSEAR_MOUSE Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Mus musculus GN=Tspear PE=1 SV=1
TR117355_c3_g16_i2	sp-J3S6Y1-TSEAR_MOUSE	sp-J3S6Y1-TSEAR_MOUSE Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Mus musculus GN=Tspear PE=1 SV=1
TR117355_c3_g16_i2	sp-J3S6Y1-TSEAR_MOUSE	sp-J3S6Y1-TSEAR_MOUSE Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Mus musculus GN=Tspear PE=1 SV=1
TR117355_c3_g16_i2	sp-J3S6Y1-TSEAR_MOUSE	sp-J3S6Y1-TSEAR_MOUSE Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Mus musculus GN=Tspear PE=1 SV=1
TR117355_c3_g16_i2	sp-J3S6Y1-TSEAR_MOUSE	sp-J3S6Y1-TSEAR_MOUSE Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Mus musculus GN=Tspear PE=1 SV=1
TR117355_c3_g16_i2	sp-Q8VHN7-GPR98_MOUSE	sp-Q8VHN7-GPR98_MOUSE G-protein coupled receptor 98 OS=Mus musculus GN=Gpr98 PE=2 SV=1
